callsign,status,licence_class,suffix
20CWG,Available,Intermediate,CWG
20CWI,Available,Intermediate,CWI
20CWJ,Available,Intermediate,CWJ
20CWK,Available,Intermediate,CWK
20CWN,Available,Intermediate,CWN
20CWO,Available,Intermediate,CWO
20CWP,Available,Intermediate,CWP
20CWQ,Available,Intermediate,CWQ
20CWU,Available,Intermediate,CWU
20CWV,Available,Intermediate,CWV
20CWW,Available,Intermediate,CWW
20CWX,Available,Intermediate,CWX
20CWY,Available,Intermediate,CWY
20CWZ,Available,Intermediate,CWZ
20CXA,Available,Intermediate,CXA
20CXC,Available,Intermediate,CXC
20CXD,Available,Intermediate,CXD
20CXE,Available,Intermediate,CXE
20CXF,Available,Intermediate,CXF
20CXG,Available,Intermediate,CXG
20CXH,Available,Intermediate,CXH
20CXI,Available,Intermediate,CXI
20CXJ,Available,Intermediate,CXJ
20CXK,Available,Intermediate,CXK
20CXL,Available,Intermediate,CXL
20CXM,Available,Intermediate,CXM
20CXN,Available,Intermediate,CXN
20CXQ,Available,Intermediate,CXQ
20CXR,Available,Intermediate,CXR
20CXS,Available,Intermediate,CXS
20CXT,Available,Intermediate,CXT
20CXU,Available,Intermediate,CXU
20CXV,Available,Intermediate,CXV
20CXX,Available,Intermediate,CXX
20CXY,Available,Intermediate,CXY
20CXZ,Available,Intermediate,CXZ
20CYA,Available,Intermediate,CYA
20CYB,Available,Intermediate,CYB
20CYC,Available,Intermediate,CYC
20CYD,Available,Intermediate,CYD
20CYE,Available,Intermediate,CYE
20CYF,Available,Intermediate,CYF
20CYH,Available,Intermediate,CYH
20CYI,Available,Intermediate,CYI
20CYJ,Available,Intermediate,CYJ
20CYK,Available,Intermediate,CYK
20CYL,Available,Intermediate,CYL
20CYN,Available,Intermediate,CYN
20CYO,Available,Intermediate,CYO
20CYP,Available,Intermediate,CYP
20CYQ,Available,Intermediate,CYQ
20CYR,Available,Intermediate,CYR
20CYS,Available,Intermediate,CYS
20CYT,Available,Intermediate,CYT
20CYU,Available,Intermediate,CYU
20CYV,Available,Intermediate,CYV
20CYX,Available,Intermediate,CYX
20CYY,Available,Intermediate,CYY
20CZA,Available,Intermediate,CZA
20CZB,Available,Intermediate,CZB
20CZC,Available,Intermediate,CZC
20CZD,Available,Intermediate,CZD
20CZE,Available,Intermediate,CZE
20CZF,Available,Intermediate,CZF
20CZG,Available,Intermediate,CZG
20CZH,Available,Intermediate,CZH
20CZI,Available,Intermediate,CZI
20CZJ,Available,Intermediate,CZJ
20CZK,Available,Intermediate,CZK
20CZL,Available,Intermediate,CZL
20CZM,Available,Intermediate,CZM
20CZN,Available,Intermediate,CZN
20CZO,Available,Intermediate,CZO
20CZP,Available,Intermediate,CZP
20CZQ,Available,Intermediate,CZQ
20CZR,Available,Intermediate,CZR
20CZS,Available,Intermediate,CZS
20CZT,Available,Intermediate,CZT
20CZU,Available,Intermediate,CZU
20CZV,Available,Intermediate,CZV
20CZW,Available,Intermediate,CZW
20CZX,Available,Intermediate,CZX
20CZY,Available,Intermediate,CZY
20CZZ,Available,Intermediate,CZZ
20DCP,Available,Intermediate,DCP
20DCW,Available,Intermediate,DCW
20DDF,Available,Intermediate,DDF
20DDI,Available,Intermediate,DDI
20DDK,Available,Intermediate,DDK
20DDL,Available,Intermediate,DDL
20DDN,Available,Intermediate,DDN
20DDO,Available,Intermediate,DDO
20DDP,Available,Intermediate,DDP
20DDQ,Available,Intermediate,DDQ
20DDR,Available,Intermediate,DDR
20DDU,Available,Intermediate,DDU
20DDV,Available,Intermediate,DDV
20DED,Available,Intermediate,DED
20DEH,Available,Intermediate,DEH
20DEI,Available,Intermediate,DEI
20DEJ,Available,Intermediate,DEJ
20DEM,Available,Intermediate,DEM
20DEU,Available,Intermediate,DEU
20DEW,Available,Intermediate,DEW
20DFA,Available,Intermediate,DFA
20DFB,Available,Intermediate,DFB
20DFC,Available,Intermediate,DFC
20DFD,Available,Intermediate,DFD
20DFE,Available,Intermediate,DFE
20DFF,Available,Intermediate,DFF
20DFG,Available,Intermediate,DFG
20DFI,Available,Intermediate,DFI
20DFL,Available,Intermediate,DFL
20DFM,Available,Intermediate,DFM
20DFN,Available,Intermediate,DFN
20DFO,Available,Intermediate,DFO
20DFQ,Available,Intermediate,DFQ
20DFR,Available,Intermediate,DFR
20DFU,Available,Intermediate,DFU
20DFV,Available,Intermediate,DFV
20DFY,Available,Intermediate,DFY
20DFZ,Available,Intermediate,DFZ
20DGA,Available,Intermediate,DGA
20DGG,Available,Intermediate,DGG
20DGI,Available,Intermediate,DGI
20DGJ,Available,Intermediate,DGJ
