callsign,status,licence_class,suffix
20DZC,Available,Amateur Intermediate Radio Licence,DZC
20DZD,Available,Amateur Intermediate Radio Licence,DZD
20DZE,Available,Amateur Intermediate Radio Licence,DZE
20DZF,Available,Amateur Intermediate Radio Licence,DZF
20DZG,Available,Amateur Intermediate Radio Licence,DZG
20DZH,Available,Amateur Intermediate Radio Licence,DZH
20DZI,Available,Amateur Intermediate Radio Licence,DZI
20DZJ,Available,Amateur Intermediate Radio Licence,DZJ
20DZK,Available,Amateur Intermediate Radio Licence,DZK
20DZM,Available,Amateur Intermediate Radio Licence,DZM
20DZN,Available,Amateur Intermediate Radio Licence,DZN
20DZO,Available,Amateur Intermediate Radio Licence,DZO
20DZP,Available,Amateur Intermediate Radio Licence,DZP
20DZQ,Available,Amateur Intermediate Radio Licence,DZQ
20DZR,Available,Amateur Intermediate Radio Licence,DZR
20DZT,Available,Amateur Intermediate Radio Licence,DZT
20DZW,Available,Amateur Intermediate Radio Licence,DZW
20DZX,Available,Amateur Intermediate Radio Licence,DZX
20DZY,Available,Amateur Intermediate Radio Licence,DZY
20EBH,Available,Amateur Intermediate Radio Licence,EBH
20EBI,Available,Amateur Intermediate Radio Licence,EBI
20EBL,Available,Amateur Intermediate Radio Licence,EBL
20EBP,Available,Amateur Intermediate Radio Licence,EBP
20EBQ,Available,Amateur Intermediate Radio Licence,EBQ
20EBU,Available,Amateur Intermediate Radio Licence,EBU
20EBW,Available,Amateur Intermediate Radio Licence,EBW
20EBX,Available,Amateur Intermediate Radio Licence,EBX
20EBY,Available,Amateur Intermediate Radio Licence,EBY
20EBZ,Available,Amateur Intermediate Radio Licence,EBZ
20ECB,Available,Amateur Intermediate Radio Licence,ECB
20ECE,Available,Amateur Intermediate Radio Licence,ECE
20ECF,Available,Amateur Intermediate Radio Licence,ECF
20ECH,Available,Amateur Intermediate Radio Licence,ECH
20ECJ,Available,Amateur Intermediate Radio Licence,ECJ
20ECP,Available,Amateur Intermediate Radio Licence,ECP
20ECQ,Available,Amateur Intermediate Radio Licence,ECQ
20ECT,Available,Amateur Intermediate Radio Licence,ECT
20ECU,Available,Amateur Intermediate Radio Licence,ECU
20ECV,Available,Amateur Intermediate Radio Licence,ECV
20ECX,Available,Amateur Intermediate Radio Licence,ECX
20ECY,Available,Amateur Intermediate Radio Licence,ECY
20EDA,Available,Amateur Intermediate Radio Licence,EDA
20EDB,Available,Amateur Intermediate Radio Licence,EDB
20EDC,Available,Amateur Intermediate Radio Licence,EDC
20EDF,Available,Amateur Intermediate Radio Licence,EDF
20EDH,Available,Amateur Intermediate Radio Licence,EDH
20EDN,Available,Amateur Intermediate Radio Licence,EDN
20EDO,Available,Amateur Intermediate Radio Licence,EDO
20EDR,Available,Amateur Intermediate Radio Licence,EDR
20EDV,Available,Amateur Intermediate Radio Licence,EDV
20EEC,Available,Amateur Intermediate Radio Licence,EEC
20EEF,Available,Amateur Intermediate Radio Licence,EEF
20EEG,Available,Amateur Intermediate Radio Licence,EEG
20EEH,Available,Amateur Intermediate Radio Licence,EEH
20EEI,Available,Amateur Intermediate Radio Licence,EEI
20EEJ,Available,Amateur Intermediate Radio Licence,EEJ
20EEL,Available,Amateur Intermediate Radio Licence,EEL
20EEN,Available,Amateur Intermediate Radio Licence,EEN
20EEP,Available,Amateur Intermediate Radio Licence,EEP
20EEQ,Available,Amateur Intermediate Radio Licence,EEQ
20EES,Available,Amateur Intermediate Radio Licence,EES
20EEU,Available,Amateur Intermediate Radio Licence,EEU
20EEV,Available,Amateur Intermediate Radio Licence,EEV
20EEW,Available,Amateur Intermediate Radio Licence,EEW
20EEX,Available,Amateur Intermediate Radio Licence,EEX
20EEZ,Available,Amateur Intermediate Radio Licence,EEZ
20EFD,Available,Amateur Intermediate Radio Licence,EFD
20EFF,Available,Amateur Intermediate Radio Licence,EFF
20EFG,Available,Amateur Intermediate Radio Licence,EFG
20EFJ,Available,Amateur Intermediate Radio Licence,EFJ
20EFK,Available,Amateur Intermediate Radio Licence,EFK
20EFL,Available,Amateur Intermediate Radio Licence,EFL
20EFN,Available,Amateur Intermediate Radio Licence,EFN
20EFO,Available,Amateur Intermediate Radio Licence,EFO
20EFP,Available,Amateur Intermediate Radio Licence,EFP
20EFQ,Available,Amateur Intermediate Radio Licence,EFQ
20EFS,Available,Amateur Intermediate Radio Licence,EFS
20EFT,Available,Amateur Intermediate Radio Licence,EFT
20EFU,Available,Amateur Intermediate Radio Licence,EFU
20EFV,Available,Amateur Intermediate Radio Licence,EFV
20EFW,Available,Amateur Intermediate Radio Licence,EFW
20EFY,Available,Amateur Intermediate Radio Licence,EFY
20EFZ,Available,Amateur Intermediate Radio Licence,EFZ
20EGA,Available,Amateur Intermediate Radio Licence,EGA
20EGC,Available,Amateur Intermediate Radio Licence,EGC
20EGD,Available,Amateur Intermediate Radio Licence,EGD
20EGE,Available,Amateur Intermediate Radio Licence,EGE
20EGH,Available,Amateur Intermediate Radio Licence,EGH
20EGJ,Available,Amateur Intermediate Radio Licence,EGJ
20EGL,Available,Amateur Intermediate Radio Licence,EGL
20EGM,Available,Amateur Intermediate Radio Licence,EGM
20EGO,Available,Amateur Intermediate Radio Licence,EGO
20EGQ,Available,Amateur Intermediate Radio Licence,EGQ
20EGS,Available,Amateur Intermediate Radio Licence,EGS
20EGU,Available,Amateur Intermediate Radio Licence,EGU
20EGV,Available,Amateur Intermediate Radio Licence,EGV
20EGW,Available,Amateur Intermediate Radio Licence,EGW
20EGX,Available,Amateur Intermediate Radio Licence,EGX
20EGY,Available,Amateur Intermediate Radio Licence,EGY
20EGZ,Available,Amateur Intermediate Radio Licence,EGZ
20EHA,Available,Amateur Intermediate Radio Licence,EHA
20EHC,Available,Amateur Intermediate Radio Licence,EHC
20EHE,Available,Amateur Intermediate Radio Licence,EHE
20EHH,Available,Amateur Intermediate Radio Licence,EHH
20EHI,Available,Amateur Intermediate Radio Licence,EHI
20EHJ,Available,Amateur Intermediate Radio Licence,EHJ
20EHK,Available,Amateur Intermediate Radio Licence,EHK
20EHL,Available,Amateur Intermediate Radio Licence,EHL
20EHM,Available,Amateur Intermediate Radio Licence,EHM
20EHN,Available,Amateur Intermediate Radio Licence,EHN
20EHO,Available,Amateur Intermediate Radio Licence,EHO
20EHP,Available,Amateur Intermediate Radio Licence,EHP
20EHQ,Available,Amateur Intermediate Radio Licence,EHQ
20EHR,Available,Amateur Intermediate Radio Licence,EHR
20EHS,Available,Amateur Intermediate Radio Licence,EHS
20EHU,Available,Amateur Intermediate Radio Licence,EHU
20EHW,Available,Amateur Intermediate Radio Licence,EHW
20EHX,Available,Amateur Intermediate Radio Licence,EHX
20EHY,Available,Amateur Intermediate Radio Licence,EHY
20EIA,Available,Amateur Intermediate Radio Licence,EIA
20EIC,Available,Amateur Intermediate Radio Licence,EIC
20EID,Available,Amateur Intermediate Radio Licence,EID
20EIE,Available,Amateur Intermediate Radio Licence,EIE
20EIF,Available,Amateur Intermediate Radio Licence,EIF
20EIH,Available,Amateur Intermediate Radio Licence,EIH
20EIJ,Available,Amateur Intermediate Radio Licence,EIJ
20EIK,Available,Amateur Intermediate Radio Licence,EIK
20EIL,Available,Amateur Intermediate Radio Licence,EIL
20EIM,Available,Amateur Intermediate Radio Licence,EIM
20EIN,Available,Amateur Intermediate Radio Licence,EIN
20EIP,Available,Amateur Intermediate Radio Licence,EIP
20EIQ,Available,Amateur Intermediate Radio Licence,EIQ
20EIT,Available,Amateur Intermediate Radio Licence,EIT
20EIU,Available,Amateur Intermediate Radio Licence,EIU
20EIV,Available,Amateur Intermediate Radio Licence,EIV
20EIX,Available,Amateur Intermediate Radio Licence,EIX
20EIY,Available,Amateur Intermediate Radio Licence,EIY
20EIZ,Available,Amateur Intermediate Radio Licence,EIZ
20EJC,Available,Amateur Intermediate Radio Licence,EJC
20EJD,Available,Amateur Intermediate Radio Licence,EJD
20EJE,Available,Amateur Intermediate Radio Licence,EJE
20EJG,Available,Amateur Intermediate Radio Licence,EJG
20EJI,Available,Amateur Intermediate Radio Licence,EJI
20EJJ,Available,Amateur Intermediate Radio Licence,EJJ
20EJN,Available,Amateur Intermediate Radio Licence,EJN
20EJO,Available,Amateur Intermediate Radio Licence,EJO
20EJP,Available,Amateur Intermediate Radio Licence,EJP
20EJQ,Available,Amateur Intermediate Radio Licence,EJQ
20EJV,Available,Amateur Intermediate Radio Licence,EJV
20EJY,Available,Amateur Intermediate Radio Licence,EJY
20EJZ,Available,Amateur Intermediate Radio Licence,EJZ
20EKA,Available,Amateur Intermediate Radio Licence,EKA
20EKC,Available,Amateur Intermediate Radio Licence,EKC
20EKD,Available,Amateur Intermediate Radio Licence,EKD
20EKE,Available,Amateur Intermediate Radio Licence,EKE
20EKI,Available,Amateur Intermediate Radio Licence,EKI
20EKJ,Available,Amateur Intermediate Radio Licence,EKJ
20EKK,Available,Amateur Intermediate Radio Licence,EKK
20EKM,Available,Amateur Intermediate Radio Licence,EKM
20EKO,Available,Amateur Intermediate Radio Licence,EKO
20EKP,Available,Amateur Intermediate Radio Licence,EKP
20EKQ,Available,Amateur Intermediate Radio Licence,EKQ
20EKS,Available,Amateur Intermediate Radio Licence,EKS
20EKT,Available,Amateur Intermediate Radio Licence,EKT
20EKU,Available,Amateur Intermediate Radio Licence,EKU
20EKV,Available,Amateur Intermediate Radio Licence,EKV
20EKW,Available,Amateur Intermediate Radio Licence,EKW
20EKX,Available,Amateur Intermediate Radio Licence,EKX
20EKY,Available,Amateur Intermediate Radio Licence,EKY
20EKZ,Available,Amateur Intermediate Radio Licence,EKZ
20ELA,Available,Amateur Intermediate Radio Licence,ELA
20ELB,Available,Amateur Intermediate Radio Licence,ELB
20ELE,Available,Amateur Intermediate Radio Licence,ELE
20ELH,Available,Amateur Intermediate Radio Licence,ELH
20ELJ,Available,Amateur Intermediate Radio Licence,ELJ
20ELN,Available,Amateur Intermediate Radio Licence,ELN
20ELQ,Available,Amateur Intermediate Radio Licence,ELQ
20ELR,Available,Amateur Intermediate Radio Licence,ELR
20ELU,Available,Amateur Intermediate Radio Licence,ELU
20ELX,Available,Amateur Intermediate Radio Licence,ELX
20ELZ,Available,Amateur Intermediate Radio Licence,ELZ
20EMH,Available,Amateur Intermediate Radio Licence,EMH
20EMK,Available,Amateur Intermediate Radio Licence,EMK
20EMN,Available,Amateur Intermediate Radio Licence,EMN
20EMQ,Available,Amateur Intermediate Radio Licence,EMQ
20EMY,Available,Amateur Intermediate Radio Licence,EMY
20EMZ,Available,Amateur Intermediate Radio Licence,EMZ
20ENA,Available,Amateur Intermediate Radio Licence,ENA
20ENB,Available,Amateur Intermediate Radio Licence,ENB
20ENC,Available,Amateur Intermediate Radio Licence,ENC
20ENE,Available,Amateur Intermediate Radio Licence,ENE
20ENF,Available,Amateur Intermediate Radio Licence,ENF
20ENH,Available,Amateur Intermediate Radio Licence,ENH
20ENI,Available,Amateur Intermediate Radio Licence,ENI
20ENJ,Available,Amateur Intermediate Radio Licence,ENJ
20ENK,Available,Amateur Intermediate Radio Licence,ENK
20ENL,Available,Amateur Intermediate Radio Licence,ENL
20ENM,Available,Amateur Intermediate Radio Licence,ENM
20ENS,Available,Amateur Intermediate Radio Licence,ENS
20ENU,Available,Amateur Intermediate Radio Licence,ENU
20ENV,Available,Amateur Intermediate Radio Licence,ENV
20ENX,Available,Amateur Intermediate Radio Licence,ENX
20ENY,Available,Amateur Intermediate Radio Licence,ENY
20EOA,Available,Amateur Intermediate Radio Licence,EOA
20EOC,Available,Amateur Intermediate Radio Licence,EOC
20EOH,Available,Amateur Intermediate Radio Licence,EOH
20EOI,Available,Amateur Intermediate Radio Licence,EOI
20EON,Available,Amateur Intermediate Radio Licence,EON
20EOQ,Available,Amateur Intermediate Radio Licence,EOQ
20EOR,Available,Amateur Intermediate Radio Licence,EOR
20EOT,Available,Amateur Intermediate Radio Licence,EOT
20EOV,Available,Amateur Intermediate Radio Licence,EOV
20EOX,Available,Amateur Intermediate Radio Licence,EOX
20EOY,Available,Amateur Intermediate Radio Licence,EOY
20EOZ,Available,Amateur Intermediate Radio Licence,EOZ
20EPA,Available,Amateur Intermediate Radio Licence,EPA
20EPB,Available,Amateur Intermediate Radio Licence,EPB
20EPD,Available,Amateur Intermediate Radio Licence,EPD
20EPF,Available,Amateur Intermediate Radio Licence,EPF
20EPG,Available,Amateur Intermediate Radio Licence,EPG
20EPH,Available,Amateur Intermediate Radio Licence,EPH
20EPI,Available,Amateur Intermediate Radio Licence,EPI
20EPJ,Available,Amateur Intermediate Radio Licence,EPJ
20EPK,Available,Amateur Intermediate Radio Licence,EPK
20EPL,Available,Amateur Intermediate Radio Licence,EPL
20EPN,Available,Amateur Intermediate Radio Licence,EPN
20EPP,Available,Amateur Intermediate Radio Licence,EPP
20EPQ,Available,Amateur Intermediate Radio Licence,EPQ
20EPS,Available,Amateur Intermediate Radio Licence,EPS
20EPU,Available,Amateur Intermediate Radio Licence,EPU
20EPV,Available,Amateur Intermediate Radio Licence,EPV
20EPX,Available,Amateur Intermediate Radio Licence,EPX
20EPY,Available,Amateur Intermediate Radio Licence,EPY
20EPZ,Available,Amateur Intermediate Radio Licence,EPZ
20EQA,Available,Amateur Intermediate Radio Licence,EQA
20EQB,Available,Amateur Intermediate Radio Licence,EQB
20EQD,Available,Amateur Intermediate Radio Licence,EQD
20EQE,Available,Amateur Intermediate Radio Licence,EQE
20EQF,Available,Amateur Intermediate Radio Licence,EQF
20EQG,Available,Amateur Intermediate Radio Licence,EQG
20EQH,Available,Amateur Intermediate Radio Licence,EQH
20EQI,Available,Amateur Intermediate Radio Licence,EQI
20EQJ,Available,Amateur Intermediate Radio Licence,EQJ
20EQK,Available,Amateur Intermediate Radio Licence,EQK
20EQL,Available,Amateur Intermediate Radio Licence,EQL
20EQM,Available,Amateur Intermediate Radio Licence,EQM
20EQN,Available,Amateur Intermediate Radio Licence,EQN
20EQO,Available,Amateur Intermediate Radio Licence,EQO
20EQP,Available,Amateur Intermediate Radio Licence,EQP
20EQQ,Available,Amateur Intermediate Radio Licence,EQQ
20EQT,Available,Amateur Intermediate Radio Licence,EQT
20EQU,Available,Amateur Intermediate Radio Licence,EQU
20EQV,Available,Amateur Intermediate Radio Licence,EQV
20EQW,Available,Amateur Intermediate Radio Licence,EQW
20EQY,Available,Amateur Intermediate Radio Licence,EQY
20EQZ,Available,Amateur Intermediate Radio Licence,EQZ
20ERB,Available,Amateur Intermediate Radio Licence,ERB
20ERH,Available,Amateur Intermediate Radio Licence,ERH
20ERI,Available,Amateur Intermediate Radio Licence,ERI
20ERJ,Available,Amateur Intermediate Radio Licence,ERJ
20ERL,Available,Amateur Intermediate Radio Licence,ERL
20ERO,Available,Amateur Intermediate Radio Licence,ERO
20ERQ,Available,Amateur Intermediate Radio Licence,ERQ
20ERR,Available,Amateur Intermediate Radio Licence,ERR
20ERU,Available,Amateur Intermediate Radio Licence,ERU
20ERW,Available,Amateur Intermediate Radio Licence,ERW
20ERX,Available,Amateur Intermediate Radio Licence,ERX
20ERY,Available,Amateur Intermediate Radio Licence,ERY
20ERZ,Available,Amateur Intermediate Radio Licence,ERZ
20ESB,Available,Amateur Intermediate Radio Licence,ESB
20ESE,Available,Amateur Intermediate Radio Licence,ESE
20ESF,Available,Amateur Intermediate Radio Licence,ESF
20ESG,Available,Amateur Intermediate Radio Licence,ESG
20ESH,Available,Amateur Intermediate Radio Licence,ESH
20ESI,Available,Amateur Intermediate Radio Licence,ESI
20ESK,Available,Amateur Intermediate Radio Licence,ESK
20ESN,Available,Amateur Intermediate Radio Licence,ESN
20ESQ,Available,Amateur Intermediate Radio Licence,ESQ
20ESV,Available,Amateur Intermediate Radio Licence,ESV
20ESY,Available,Amateur Intermediate Radio Licence,ESY
20ESZ,Available,Amateur Intermediate Radio Licence,ESZ
20ETF,Available,Amateur Intermediate Radio Licence,ETF
20ETG,Available,Amateur Intermediate Radio Licence,ETG
20ETI,Available,Amateur Intermediate Radio Licence,ETI
20ETJ,Available,Amateur Intermediate Radio Licence,ETJ
20ETK,Available,Amateur Intermediate Radio Licence,ETK
20ETL,Available,Amateur Intermediate Radio Licence,ETL
20ETQ,Available,Amateur Intermediate Radio Licence,ETQ
20ETS,Available,Amateur Intermediate Radio Licence,ETS
20ETU,Available,Amateur Intermediate Radio Licence,ETU
20ETY,Available,Amateur Intermediate Radio Licence,ETY
20ETZ,Available,Amateur Intermediate Radio Licence,ETZ
20EUB,Available,Amateur Intermediate Radio Licence,EUB
20EUC,Available,Amateur Intermediate Radio Licence,EUC
20EUD,Available,Amateur Intermediate Radio Licence,EUD
20EUE,Available,Amateur Intermediate Radio Licence,EUE
20EUF,Available,Amateur Intermediate Radio Licence,EUF
20EUG,Available,Amateur Intermediate Radio Licence,EUG
20EUH,Available,Amateur Intermediate Radio Licence,EUH
20EUI,Available,Amateur Intermediate Radio Licence,EUI
20EUJ,Available,Amateur Intermediate Radio Licence,EUJ
20EUL,Available,Amateur Intermediate Radio Licence,EUL
20EUM,Available,Amateur Intermediate Radio Licence,EUM
20EUP,Available,Amateur Intermediate Radio Licence,EUP
20EUQ,Available,Amateur Intermediate Radio Licence,EUQ
20EUT,Available,Amateur Intermediate Radio Licence,EUT
20EUU,Available,Amateur Intermediate Radio Licence,EUU
20EUV,Available,Amateur Intermediate Radio Licence,EUV
20EUW,Available,Amateur Intermediate Radio Licence,EUW
20EUX,Available,Amateur Intermediate Radio Licence,EUX
20EUY,Available,Amateur Intermediate Radio Licence,EUY
20EUZ,Available,Amateur Intermediate Radio Licence,EUZ
20EVC,Available,Amateur Intermediate Radio Licence,EVC
20EVF,Available,Amateur Intermediate Radio Licence,EVF
20EVH,Available,Amateur Intermediate Radio Licence,EVH
20EVI,Available,Amateur Intermediate Radio Licence,EVI
20EVL,Available,Amateur Intermediate Radio Licence,EVL
20EVM,Available,Amateur Intermediate Radio Licence,EVM
20EVN,Available,Amateur Intermediate Radio Licence,EVN
20EVQ,Available,Amateur Intermediate Radio Licence,EVQ
20EVR,Available,Amateur Intermediate Radio Licence,EVR
20EVT,Available,Amateur Intermediate Radio Licence,EVT
20EVU,Available,Amateur Intermediate Radio Licence,EVU
20EVV,Available,Amateur Intermediate Radio Licence,EVV
20EVW,Available,Amateur Intermediate Radio Licence,EVW
20EVY,Available,Amateur Intermediate Radio Licence,EVY
20EWB,Available,Amateur Intermediate Radio Licence,EWB
20EWC,Available,Amateur Intermediate Radio Licence,EWC
20EWD,Available,Amateur Intermediate Radio Licence,EWD
20EWF,Available,Amateur Intermediate Radio Licence,EWF
20EWG,Available,Amateur Intermediate Radio Licence,EWG
20EWH,Available,Amateur Intermediate Radio Licence,EWH
20EWI,Available,Amateur Intermediate Radio Licence,EWI
20EWJ,Available,Amateur Intermediate Radio Licence,EWJ
20EWK,Available,Amateur Intermediate Radio Licence,EWK
20EWN,Available,Amateur Intermediate Radio Licence,EWN
20EWO,Available,Amateur Intermediate Radio Licence,EWO
20EWQ,Available,Amateur Intermediate Radio Licence,EWQ
20EWR,Available,Amateur Intermediate Radio Licence,EWR
20EWT,Available,Amateur Intermediate Radio Licence,EWT
20EWU,Available,Amateur Intermediate Radio Licence,EWU
20EWV,Available,Amateur Intermediate Radio Licence,EWV
20EWX,Available,Amateur Intermediate Radio Licence,EWX
20EWY,Available,Amateur Intermediate Radio Licence,EWY
20EWZ,Available,Amateur Intermediate Radio Licence,EWZ
20EXA,Available,Amateur Intermediate Radio Licence,EXA
20EXB,Available,Amateur Intermediate Radio Licence,EXB
20EXF,Available,Amateur Intermediate Radio Licence,EXF
20EXG,Available,Amateur Intermediate Radio Licence,EXG
20EXH,Available,Amateur Intermediate Radio Licence,EXH
20EXI,Available,Amateur Intermediate Radio Licence,EXI
20EXK,Available,Amateur Intermediate Radio Licence,EXK
20EXM,Available,Amateur Intermediate Radio Licence,EXM
20EXN,Available,Amateur Intermediate Radio Licence,EXN
20EXQ,Available,Amateur Intermediate Radio Licence,EXQ
20EXT,Available,Amateur Intermediate Radio Licence,EXT
20EXU,Available,Amateur Intermediate Radio Licence,EXU
20EXV,Available,Amateur Intermediate Radio Licence,EXV
20EXW,Available,Amateur Intermediate Radio Licence,EXW
20EXZ,Available,Amateur Intermediate Radio Licence,EXZ
20EYA,Available,Amateur Intermediate Radio Licence,EYA
20EYB,Available,Amateur Intermediate Radio Licence,EYB
20EYD,Available,Amateur Intermediate Radio Licence,EYD
20EYF,Available,Amateur Intermediate Radio Licence,EYF
20EYG,Available,Amateur Intermediate Radio Licence,EYG
20EYH,Available,Amateur Intermediate Radio Licence,EYH
20EYI,Available,Amateur Intermediate Radio Licence,EYI
20EYJ,Available,Amateur Intermediate Radio Licence,EYJ
20EYK,Available,Amateur Intermediate Radio Licence,EYK
20EYL,Available,Amateur Intermediate Radio Licence,EYL
20EYM,Available,Amateur Intermediate Radio Licence,EYM
20EYN,Available,Amateur Intermediate Radio Licence,EYN
20EYO,Available,Amateur Intermediate Radio Licence,EYO
20EYR,Available,Amateur Intermediate Radio Licence,EYR
20EYS,Available,Amateur Intermediate Radio Licence,EYS
20EYT,Available,Amateur Intermediate Radio Licence,EYT
20EYU,Available,Amateur Intermediate Radio Licence,EYU
20EYV,Available,Amateur Intermediate Radio Licence,EYV
20EYW,Available,Amateur Intermediate Radio Licence,EYW
20EYY,Available,Amateur Intermediate Radio Licence,EYY
20EZA,Available,Amateur Intermediate Radio Licence,EZA
