callsign,status,licence_class,last_modified_date,original_start_date
G0MOJ,Reserved,Amateur Full Radio Licence,,
G0MOK,Allocated,Amateur Full Radio Licence,2024-05-06,1989-11-15
G0MOL,Reserved,,,
G0MOM,Allocated,Amateur Full Radio Licence,2024-06-16,2022-06-28
G0MON,Reserved,,,
G0MOP,Allocated,Amateur Full Radio Licence,2024-09-06,1989-11-17
G0MOQ,Allocated,Amateur Full Radio Licence,2024-08-27,1998-08-17
G0MOR,Allocated,Amateur Full Radio Licence,2024-04-03,1989-11-17
G0MOS,Reserved,,,
G0MOU,Allocated,Amateur Full Radio Licence,2024-06-08,1989-11-22
G0MOV,Reserved,,,
G0MOW,Allocated,Amateur Full Radio Licence,2024-04-29,1989-11-22
G0MOX,Allocated,Amateur Full Radio Licence,2024-08-04,2007-07-26
G0MOY,Reserved,,,
G0MOZ,Reserved,,,
G0MPA,Allocated,Amateur Full Radio Licence,2024-08-04,2007-05-07
G0MPB,Reserved,Amateur Full Radio Licence,,
G0MPC,Reserved,Amateur Full Radio Licence,,
G0MPD,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-22
G0MPE,Reserved,Amateur Full Radio Licence,,
G0MPG,Allocated,Amateur Full Radio Licence,2024-05-04,1989-11-22
G0MPH,Reserved,,,
G0MPI,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-22
G0MPJ,Allocated,Amateur Full Radio Licence,2024-02-28,1989-11-22
G0MPK,Allocated,Amateur Full Radio Licence,2024-02-28,1989-11-22
G0MPL,Reserved,Amateur Full Radio Licence,,
G0MPM,Allocated,Amateur Full Radio Licence,2024-06-09,1989-11-22
G0MPN,Reserved,,,
G0MPO,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-24
G0MPP,Allocated,Amateur Full Radio Licence,2024-06-14,1989-11-24
G0MPQ,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-24
G0MPR,Allocated,Amateur Full Radio Licence,2024-06-22,1989-11-24
G0MPS,Reserved,,,
G0MPT,Allocated,Amateur Full Radio Licence,2024-04-12,1989-11-24
G0MPU,Reserved,,,
G0MPV,Reserved,,,
G0MPW,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-29
G0MPX,Allocated,Amateur Full Radio Licence,2024-06-10,1996-11-29
G0MPY,Reserved,,,
G0MPZ,Reserved,Amateur Full Radio Licence,,
G0MQA,Allocated,Amateur Full Radio Licence,2024-08-05,2008-05-01
G0MQB,Reserved,Amateur Full Radio Licence,,
G0MQC,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-29
G0MQD,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-29
G0MQE,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-29
G0MQF,Allocated,Amateur Full Radio Licence,2024-06-21,2012-12-07
G0MQG,Allocated,Amateur Full Radio Licence,2024-08-04,1989-11-29
G0MQH,Allocated,Amateur Full Radio Licence,2024-04-01,1989-11-29
G0MQI,Allocated,Amateur Full Radio Licence,2024-06-14,1989-11-29
G0MQJ,Allocated,Amateur Full Radio Licence,2024-08-03,2010-11-05
G0MQK,Allocated,Amateur Full Radio Licence,2024-08-10,1989-11-29
G0MQL,Allocated,Amateur Full Radio Licence,2024-08-11,1989-11-29
G0MQM,Allocated,Amateur Full Radio Licence,2024-02-28,1989-11-29
G0MQN,Allocated,Amateur Full Radio Licence,2024-08-14,1989-11-29
G0MQP,Allocated,Amateur Full Radio Licence,2024-06-23,1989-12-01
G0MQQ,Reserved,Amateur Full Radio Licence,,
G0MQR,Allocated,Amateur Full Radio Licence,2024-05-26,1989-12-01
G0MQS,Allocated,Amateur Full Radio Licence,2024-08-14,1989-12-01
G0MQT,Reserved,,,
G0MQU,Allocated,Amateur Full Radio Licence,2024-03-09,1989-12-01
G0MQV,Allocated,Amateur Full Radio Licence,2024-08-14,1989-12-01
G0MQW,Allocated,Amateur Full Radio Licence,2024-05-16,1989-12-06
G0MQX,Allocated,Amateur Full Radio Licence,2024-08-25,1989-12-06
G0MQY,Reserved,,,
G0MQZ,Reserved,,,
G0MRA,Allocated,Amateur Full Radio Licence,2024-08-14,1989-12-06
G0MRB,Allocated,Amateur Full Radio Licence,2024-08-14,1989-12-06
G0MRC,Reserved,,,
G0MRD,Allocated,Amateur Full Radio Licence,2024-08-14,1989-12-06
G0MRE,Reserved,Amateur Full Radio Licence,,
G0MRF,Allocated,Amateur Full Radio Licence,2024-06-27,1989-12-06
G0MRG,Reserved,,,
G0MRH,Reserved,Amateur Full Radio Licence,,
G0MRI,Available,Amateur Club Radio Licence,,
G0MRJ,Allocated,Amateur Full Radio Licence,2024-06-14,1989-12-06
G0MRK,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-06
G0MRL,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-06
G0MRM,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-06
G0MRO,Reserved,,,
G0MRP,Allocated,Amateur Full Radio Licence,2024-08-05,2008-06-11
G0MRQ,Reserved,,,
G0MRR,Allocated,Amateur Full Radio Licence,2024-07-21,1989-07-01
G0MRS,Reserved,,,
G0MRT,Reserved,,,
G0MRU,Reserved,,,
G0MRV,Allocated,Amateur Full Radio Licence,2024-04-27,1989-12-13
G0MRW,Reserved,,,
G0MRX,Reserved,,,
G0MRY,Allocated,Amateur Full Radio Licence,2024-08-03,2009-05-11
G0MRZ,Allocated,Amateur Full Radio Licence,2024-08-24,1989-12-13
G0MSA,Allocated,Amateur Full Radio Licence,2024-08-25,2000-03-31
G0MSB,Reserved,,,
G0MSE,Allocated,Amateur Full Radio Licence,2025-03-05,2025-03-05
G0MSF,Allocated,Amateur Full Radio Licence,2024-09-05,1989-12-15
G0MSG,Allocated,Amateur Full Radio Licence,2024-08-30,2004-02-06
G0MSH,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-15
G0MSI,Allocated,Amateur Full Radio Licence,2024-05-16,1989-12-15
G0MSJ,Reserved,,,
G0MSK,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-15
G0MSL,Allocated,Amateur Full Radio Licence,2024-09-07,1989-12-15
G0MSM,Reserved,,,
G0MSN,Reserved,,,
G0MSO,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-15
G0MSP,Allocated,Amateur Full Radio Licence,2024-04-16,2002-12-15
G0MSQ,Reserved,,,
G0MSR,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-15
G0MSS,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-15
G0MST,Allocated,Amateur Full Radio Licence,2024-06-06,1989-12-20
G0MSU,Reserved,,,
G0MSV,Reserved,,,
G0MSW,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-20
G0MSX,Reserved,Amateur Full Radio Licence,,
G0MSY,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-20
G0MSZ,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-20
G0MTA,Allocated,Amateur Full Radio Licence,2024-06-10,1989-12-20
G0MTB,Allocated,Amateur Full Radio Licence,2024-03-12,1989-12-20
G0MTC,Reserved,,,
G0MTD,Allocated,Amateur Full Radio Licence,2024-04-05,1989-12-20
G0MTE,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-20
G0MTF,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-20
G0MTG,Reserved,,,
G0MTI,Allocated,Amateur Full Radio Licence,2024-03-16,1989-12-20
G0MTJ,Allocated,Amateur Full Radio Licence,2024-08-06,1989-12-20
G0MTK,Allocated,Amateur Full Radio Licence,2024-06-18,1989-12-20
G0MTL,Reserved,,,
G0MTM,Reserved,,,
G0MTN,Allocated,Amateur Full Radio Licence,2024-08-20,1989-12-20
G0MTO,Reserved,,,
G0MTP,Allocated,Amateur Full Radio Licence,2024-08-08,1989-12-21
G0MTQ,Allocated,Amateur Full Radio Licence,2025-08-23,1989-12-21
G0MTR,Allocated,Amateur Club Radio Licence,2024-06-19,2010-02-09
G0MTS,Allocated,Amateur Full Radio Licence,2024-05-12,2019-12-17
G0MTT,Allocated,Amateur Full Radio Licence,2024-08-08,1989-12-21
G0MTU,Reserved,,,
G0MTV,Allocated,Amateur Full Radio Licence,2024-08-08,1989-12-21
G0MTW,Allocated,Amateur Full Radio Licence,2024-04-15,1989-12-21
G0MTX,Allocated,Amateur Full Radio Licence,2024-06-09,1989-12-21
G0MTY,Allocated,Amateur Full Radio Licence,2024-06-02,1989-12-21
G0MTZ,Allocated,Amateur Full Radio Licence,2024-08-27,1989-12-21
G0MUA,Reserved,,,
G0MUB,Reserved,,,
G0MUC,Allocated,Amateur Full Radio Licence,2024-05-10,2013-08-07
G0MUD,Allocated,Amateur Club Radio Licence,2024-07-22,1989-12-21
G0MUE,Reserved,,,
G0MUF,Reserved,,,
G0MUG,Reserved,,,
G0MUH,Allocated,Amateur Full Radio Licence,2024-08-08,1989-12-21
G0MUI,Reserved,,,
G0MUJ,Allocated,Amateur Full Radio Licence,2024-09-06,2011-11-14
G0MUK,Reserved,Amateur Full Radio Licence,,
G0MUL,Reserved,,,
G0MUN,Allocated,Amateur Full Radio Licence,2024-05-03,1989-12-21
G0MUO,Allocated,Amateur Full Radio Licence,2024-08-17,1990-01-04
G0MUP,Reserved,,,
G0MUQ,Reserved,Amateur Full Radio Licence,,
G0MUR,Allocated,Amateur Full Radio Licence,2024-08-08,1990-01-04
G0MUS,Reserved,,,
G0MUT,Allocated,Amateur Full Radio Licence,2024-08-08,1990-01-04
G0MUU,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-04
G0MUV,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-04
G0MUW,Allocated,Amateur Full Radio Licence,2024-08-26,1990-01-04
G0MUX,Reserved,,,
G0MUY,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-04
G0MUZ,Allocated,Amateur Full Radio Licence,2024-06-21,1990-01-04
G0MVA,Reserved,,,
G0MVB,Reserved,Amateur Full Radio Licence,,
G0MVC,Allocated,Amateur Full Radio Licence,2024-08-21,1990-01-04
G0MVD,Allocated,Amateur Full Radio Licence,2024-12-04,2023-10-03
G0MVE,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-04
G0MVF,Reserved,,,
G0MVG,Reserved,,,
G0MVH,Reserved,,,
G0MVI,Reserved,,,
G0MVJ,Reserved,,,
G0MVK,Reserved,,,
G0MVL,Reserved,,,
G0MVM,Allocated,Amateur Full Radio Licence,2024-03-13,1990-01-12
G0MVN,Reserved,,,
G0MVO,Reserved,Amateur Full Radio Licence,,
G0MVP,Allocated,Amateur Full Radio Licence,2024-04-19,1990-01-12
G0MVQ,Reserved,,,
G0MVR,Allocated,Amateur Full Radio Licence,2024-08-24,1990-01-12
G0MVS,Reserved,Amateur Full Radio Licence,,
G0MVT,Allocated,Amateur Full Radio Licence,2024-03-20,1990-01-12
G0MVU,Reserved,Amateur Full Radio Licence,,
G0MVV,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-12
G0MVW,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-12
G0MVX,Allocated,Amateur Full Radio Licence,2024-06-05,1990-01-12
G0MVY,Allocated,Amateur Full Radio Licence,2024-03-13,1990-01-12
G0MVZ,Reserved,,,
G0MWA,Reserved,Amateur Full Radio Licence,,
G0MWB,Reserved,,,
G0MWC,Reserved,,,
G0MWD,Reserved,,,
G0MWE,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-12
G0MWF,Reserved,Amateur Full Radio Licence,,
G0MWG,Reserved,,,
G0MWH,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-12
G0MWI,Reserved,,,
G0MWJ,Allocated,Amateur Full Radio Licence,2024-08-24,1990-01-17
G0MWK,Reserved,,,
G0MWL,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-19
G0MWM,Allocated,Amateur Full Radio Licence,2024-08-06,1990-01-19
G0MWN,Allocated,Amateur Full Radio Licence,2024-08-24,1990-01-19
G0MWO,Reserved,Amateur Full Radio Licence,,
G0MWP,Reserved,,,
G0MWQ,Reserved,Amateur Full Radio Licence,,
G0MWR,Allocated,Amateur Full Radio Licence,2024-08-04,2012-10-31
G0MWS,Allocated,Amateur Full Radio Licence,2024-08-09,1990-01-24
G0MWT,Allocated,Amateur Club Radio Licence,2024-09-05,2022-11-03
G0MWU,Allocated,Amateur Full Radio Licence,2024-08-09,1990-01-24
G0MWV,Allocated,Amateur Full Radio Licence,2024-06-28,1990-01-24
G0MWW,Allocated,Amateur Full Radio Licence,2024-02-29,1990-01-24
G0MWX,Reserved,Amateur Full Radio Licence,,
G0MWY,Reserved,Amateur Full Radio Licence,,
G0MWZ,Allocated,Amateur Full Radio Licence,2024-08-09,1990-01-24
G0MXA,Reserved,,,
G0MXB,Allocated,Amateur Full Radio Licence,2024-08-09,1990-01-24
G0MXC,Reserved,,,
G0MXD,Allocated,Amateur Full Radio Licence,2024-08-21,1990-01-26
G0MXE,Allocated,Amateur Full Radio Licence,2024-04-18,1990-01-26
G0MXF,Allocated,Amateur Full Radio Licence,2024-08-28,1990-01-26
G0MXG,Allocated,Amateur Full Radio Licence,2024-08-09,1990-01-26
G0MXH,Allocated,Amateur Full Radio Licence,2024-08-09,1990-01-26
G0MXI,Reserved,,,
G0MXJ,Reserved,,,
G0MXK,Reserved,,,
G0MXL,Reserved,,,
G0MXM,Reserved,,,
G0MXN,Allocated,Amateur Full Radio Licence,2024-06-18,1990-01-30
G0MXO,Reserved,,,
G0MXP,Allocated,Amateur Full Radio Licence,2024-06-13,1990-01-30
G0MXQ,Reserved,,,
G0MXR,Reserved,Amateur Full Radio Licence,,
G0MXS,Reserved,,,
G0MXT,Reserved,Amateur Full Radio Licence,,
G0MXU,Allocated,Amateur Full Radio Licence,2025-08-09,1990-01-30
G0MXV,Reserved,,,
G0MXW,Allocated,Amateur Full Radio Licence,2024-03-06,1990-01-30
G0MXX,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-02
G0MXY,Allocated,Amateur Full Radio Licence,2024-08-16,1990-02-02
G0MXZ,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-02
G0MYA,Allocated,Amateur Full Radio Licence,2024-08-27,1990-02-02
G0MYB,Reserved,,,
G0MYC,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-02
G0MYD,Allocated,Amateur Full Radio Licence,2024-06-14,1990-02-02
G0MYE,Reserved,,,
G0MYF,Reserved,,,
G0MYH,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-07
G0MYI,Reserved,,,
G0MYJ,Allocated,Amateur Full Radio Licence,2024-08-19,1990-02-07
G0MYK,Reserved,Amateur Full Radio Licence,,
G0MYL,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-07
G0MYM,Allocated,Amateur Full Radio Licence,2024-08-17,1990-02-07
G0MYN,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-07
G0MYO,Reserved,,,
G0MYP,Reserved,Amateur Full Radio Licence,,
G0MYQ,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-07
G0MYR,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-07
G0MYS,Reserved,,,
G0MYT,Reserved,,,
G0MYU,Reserved,,,
G0MYV,Reserved,Amateur Full Radio Licence,,
G0MYW,Allocated,Amateur Full Radio Licence,2024-06-26,1990-02-09
G0MYX,Allocated,Amateur Full Radio Licence,2024-10-09,1990-02-09
G0MYY,Allocated,Amateur Full Radio Licence,2024-08-24,1990-02-09
G0MYZ,Reserved,,,
G0MZA,Reserved,Amateur Full Radio Licence,,
G0MZB,Allocated,Amateur Full Radio Licence,2024-06-23,1990-02-09
G0MZD,Allocated,Amateur Full Radio Licence,2024-08-09,1990-02-09
G0MZE,Reserved,,,
G0MZF,Allocated,Amateur Full Radio Licence,2025-07-29,1990-02-14
G0MZH,Allocated,Amateur Full Radio Licence,2024-08-04,2012-04-25
G0MZI,Reserved,,,
G0MZJ,Allocated,Amateur Full Radio Licence,2024-05-23,2020-05-05
G0MZK,Allocated,Amateur Full Radio Licence,2024-06-08,1990-02-14
G0MZL,Reserved,Amateur Full Radio Licence,,
G0MZM,Reserved,,,
G0MZN,Allocated,Amateur Full Radio Licence,2024-09-05,1990-02-14
G0MZO,Reserved,Amateur Full Radio Licence,,
G0MZP,Allocated,Amateur Full Radio Licence,2024-06-26,1990-02-14
G0MZQ,Allocated,Amateur Full Radio Licence,2024-08-11,1990-02-14
G0MZR,Reserved,,,
G0MZS,Allocated,Amateur Full Radio Licence,2024-06-20,2019-09-24
G0MZT,Allocated,Amateur Full Radio Licence,2024-06-14,1990-02-14
G0MZU,Reserved,,,
G0MZV,Allocated,Amateur Full Radio Licence,2025-03-05,1990-02-16
G0MZW,Reserved,,,
G0MZX,Allocated,Amateur Full Radio Licence,2024-08-11,1990-02-16
G0MZY,Allocated,Amateur Full Radio Licence,2024-08-11,1990-02-16
G0MZZ,Allocated,Amateur Full Radio Licence,2024-09-06,1990-02-16
G0NAA,Allocated,Amateur Full Radio Licence,2024-08-29,2006-03-23
G0NAB,Allocated,Amateur Full Radio Licence,2024-08-11,1990-02-16
G0NAC,Reserved,,,
G0NAD,Allocated,Amateur Full Radio Licence,2024-03-14,2020-12-18
G0NAE,Allocated,Amateur Full Radio Licence,2024-02-29,1990-02-16
G0NAF,Reserved,,,
G0NAG,Reserved,,,
G0NAH,Reserved,,,
G0NAI,Allocated,Amateur Full Radio Licence,2024-06-24,1990-02-21
G0NAJ,Allocated,Amateur Full Radio Licence,2024-08-11,1990-02-21
G0NAK,Reserved,,,
G0NAL,Reserved,,,
G0NAM,Available,,,
G0NAN,Allocated,Amateur Full Radio Licence,2024-07-02,2017-04-12
G0NAO,Reserved,,,
G0NAP,Allocated,Amateur Full Radio Licence,2024-09-04,1990-02-21
G0NAQ,Allocated,Amateur Full Radio Licence,2024-09-04,1990-02-21
G0NAR,Allocated,Amateur Full Radio Licence,2024-08-10,1990-02-21
G0NAS,Allocated,Amateur Full Radio Licence,2024-09-05,1990-02-21
G0NAT,Reserved,,,
G0NAU,Allocated,Amateur Full Radio Licence,2024-08-10,1990-02-21
G0NAV,Allocated,Amateur Full Radio Licence,2024-08-10,1990-02-21
G0NAW,Reserved,,,
G0NAX,Allocated,Amateur Full Radio Licence,2024-03-26,1990-02-21
G0NAY,Reserved,,,
G0NAZ,Allocated,Amateur Full Radio Licence,2024-08-10,1990-02-21
G0NBA,Allocated,Amateur Full Radio Licence,2025-08-27,1990-02-21
G0NBB,Allocated,Amateur Full Radio Licence,2024-03-27,1990-02-21
G0NBC,Allocated,Amateur Full Radio Licence,2024-08-10,1990-02-21
G0NBD,Allocated,Amateur Full Radio Licence,2024-08-29,1990-02-21
G0NBE,Allocated,Amateur Full Radio Licence,2024-08-10,1990-02-21
G0NBF,Allocated,Amateur Full Radio Licence,2024-06-07,1990-02-23
G0NBG,Allocated,Amateur Full Radio Licence,2024-08-10,1990-02-23
G0NBH,Allocated,Amateur Full Radio Licence,2024-08-10,1990-02-23
G0NBI,Allocated,Amateur Full Radio Licence,2024-06-20,1993-02-23
G0NBJ,Allocated,Amateur Full Radio Licence,2024-02-29,2010-08-22
G0NBK,Reserved,,,
G0NBL,Reserved,,,
G0NBM,Allocated,Amateur Full Radio Licence,2024-04-25,1990-02-28
G0NBN,Reserved,,,
G0NBO,Allocated,Amateur Full Radio Licence,2025-05-29,1990-02-28
G0NBP,Allocated,Amateur Full Radio Licence,2024-08-26,1990-02-28
G0NBQ,Reserved,,,
G0NBR,Reserved,,,
G0NBS,Reserved,,,
G0NBT,Reserved,,,
G0NBU,Reserved,,,
G0NBV,Reserved,,,
G0NBW,Allocated,Amateur Full Radio Licence,2024-08-10,1990-03-07
G0NBX,Reserved,,,
G0NBY,Reserved,,,
G0NBZ,Reserved,,,
G0NCA,Allocated,Amateur Full Radio Licence,2024-06-26,1990-03-14
G0NCB,Reserved,,,
G0NCC,Reserved,,,
G0NCD,Reserved,,,
G0NCE,Allocated,Amateur Full Radio Licence,2024-05-10,1990-03-14
G0NCF,Allocated,Amateur Full Radio Licence,2024-04-11,1990-03-16
G0NCG,Reserved,,,
G0NCH,Allocated,Amateur Full Radio Licence,2024-08-10,1990-03-16
G0NCI,Reserved,,,
G0NCJ,Reserved,Amateur Full Radio Licence,,
G0NCK,Reserved,Amateur Full Radio Licence,,
G0NCL,Allocated,Amateur Full Radio Licence,2024-08-10,1990-03-23
G0NCM,Allocated,Amateur Full Radio Licence,2024-06-07,1990-03-23
G0NCN,Allocated,Amateur Full Radio Licence,2024-08-10,1990-03-23
G0NCO,Allocated,Amateur Full Radio Licence,2024-06-12,1990-03-23
G0NCP,Reserved,,,
G0NCQ,Allocated,Amateur Full Radio Licence,2024-08-10,1990-03-23
G0NCR,Allocated,Amateur Full Radio Licence,2024-08-24,1990-03-23
G0NCS,Allocated,Amateur Full Radio Licence,2024-09-05,2015-03-17
G0NCT,Allocated,Amateur Full Radio Licence,2024-08-24,1990-03-23
G0NCU,Allocated,Amateur Full Radio Licence,2024-02-28,1990-03-23
G0NCV,Reserved,Amateur Full Radio Licence,,
G0NCW,Allocated,Amateur Full Radio Licence,2025-05-20,1990-03-23
G0NCX,Allocated,Amateur Full Radio Licence,2024-08-12,1990-03-23
G0NCY,Allocated,Amateur Full Radio Licence,2024-08-12,1990-03-23
G0NCZ,Reserved,,,
G0NDA,Allocated,Amateur Full Radio Licence,2024-08-04,2014-07-13
G0NDB,Allocated,Amateur Full Radio Licence,2024-08-12,1990-03-23
G0NDC,Allocated,Amateur Full Radio Licence,2024-08-12,1990-03-23
G0NDD,Allocated,Amateur Full Radio Licence,2024-08-12,1990-03-23
G0NDE,Reserved,Amateur Full Radio Licence,,
G0NDF,Allocated,Amateur Full Radio Licence,2024-03-20,1990-03-23
G0NDG,Reserved,,,
G0NDH,Reserved,,,
G0NDI,Reserved,,,
G0NDJ,Reserved,,,
G0NDK,Reserved,Amateur Full Radio Licence,,
G0NDL,Reserved,,,
G0NDM,Reserved,Amateur Full Radio Licence,,
G0NDN,Allocated,Amateur Full Radio Licence,2024-03-16,1990-03-23
G0NDO,Reserved,,,
G0NDP,Reserved,Amateur Full Radio Licence,,
G0NDQ,Reserved,Amateur Full Radio Licence,,
G0NDR,Reserved,,,
G0NDS,Available,Amateur Club Radio Licence,,
G0NDT,Allocated,Amateur Full Radio Licence,2024-03-01,1990-03-28
G0NDU,Allocated,Amateur Full Radio Licence,2024-08-08,1990-03-28
G0NDV,Allocated,Amateur Full Radio Licence,2024-06-04,1990-03-28
G0NDW,Reserved,,,
G0NDX,Reserved,,,
G0NDY,Allocated,Amateur Full Radio Licence,2024-08-08,1990-03-28
G0NDZ,Allocated,Amateur Full Radio Licence,2024-06-06,1990-03-28
G0NEA,Reserved,,,
G0NEB,Allocated,Amateur Full Radio Licence,2024-04-09,1990-03-28
G0NEC,Allocated,Amateur Full Radio Licence,2024-04-04,2004-03-28
G0NED,Allocated,Amateur Full Radio Licence,2024-08-08,1990-03-28
G0NEE,Allocated,Amateur Full Radio Licence,2024-08-08,1990-03-28
G0NEF,Allocated,Amateur Full Radio Licence,2024-06-23,2010-08-22
G0NEG,Reserved,Amateur Full Radio Licence,,
G0NEH,Allocated,Amateur Club Radio Licence,2024-05-27,2008-06-25
G0NEI,Reserved,,,
G0NEJ,Reserved,,,
G0NEK,Reserved,,,
G0NEL,Reserved,,,
G0NEM,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NEN,Allocated,Amateur Full Radio Licence,2024-06-24,1990-03-28
G0NEO,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NEP,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NEQ,Allocated,Amateur Club Radio Licence,2024-07-21,2007-08-23
G0NER,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NES,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NET,Allocated,Amateur Club Radio Licence,2024-07-21,1996-01-18
G0NEU,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NEV,Allocated,Amateur Full Radio Licence,2024-06-15,2022-05-03
G0NEW,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NEX,Reserved,,,
G0NEY,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NEZ,Reserved,,,
G0NFA,Allocated,Amateur Full Radio Licence,2024-08-27,2005-02-05
G0NFB,Allocated,Amateur Full Radio Licence,2024-08-28,1990-03-28
G0NFC,Reserved,,,
G0NFD,Reserved,,,
G0NFE,Allocated,Amateur Full Radio Licence,2024-06-23,1990-03-28
G0NFG,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NFH,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-28
G0NFI,Allocated,Amateur Full Radio Licence,2024-06-24,1990-03-28
G0NFJ,Reserved,Amateur Full Radio Licence,,
G0NFK,Reserved,,,
G0NFL,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-30
G0NFM,Reserved,,,
G0NFN,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-30
G0NFO,Allocated,Amateur Full Radio Licence,2024-08-09,1990-03-30
G0NFP,Reserved,,,
G0NFQ,Allocated,Amateur Full Radio Licence,2024-08-29,1990-03-30
G0NFR,Allocated,Amateur Full Radio Licence,2024-08-24,1990-03-30
G0NFS,Reserved,,,
G0NFT,Reserved,,,
G0NFU,Reserved,,,
G0NFV,Allocated,Amateur Full Radio Licence,2024-05-06,1990-03-30
G0NFW,Reserved,,,
G0NFX,Allocated,Amateur Full Radio Licence,2024-09-02,2024-08-29
G0NFY,Allocated,Amateur Full Radio Licence,2024-06-25,1990-04-04
G0NFZ,Allocated,Amateur Full Radio Licence,2024-06-12,1990-04-04
G0NGA,Allocated,Amateur Full Radio Licence,2024-03-21,1993-04-04
G0NGB,Reserved,Amateur Full Radio Licence,,
G0NGC,Reserved,,,
G0NGD,Allocated,Amateur Full Radio Licence,2024-08-21,1990-04-04
G0NGE,Allocated,Amateur Full Radio Licence,2024-08-10,1990-04-04
G0NGF,Reserved,Amateur Full Radio Licence,,
G0NGG,Allocated,Amateur Full Radio Licence,2024-06-27,1990-04-04
G0NGH,Reserved,Amateur Full Radio Licence,,
G0NGI,Allocated,Amateur Full Radio Licence,2024-04-17,1990-04-06
G0NGJ,Allocated,Amateur Full Radio Licence,2024-02-27,1990-04-06
G0NGK,Allocated,Amateur Full Radio Licence,2024-08-27,1990-04-06
G0NGL,Allocated,Amateur Full Radio Licence,2025-03-01,1990-04-06
G0NGM,Reserved,,,
G0NGN,Allocated,Amateur Full Radio Licence,2024-05-24,2008-02-13
G0NGO,Reserved,,,
G0NGP,Allocated,Amateur Full Radio Licence,2024-08-10,1990-04-06
G0NGQ,Allocated,Amateur Full Radio Licence,2024-05-11,1990-04-11
G0NGR,Reserved,,,
G0NGS,Reserved,,,
G0NGT,Allocated,Amateur Full Radio Licence,2024-08-10,1990-04-11
G0NGU,Allocated,Amateur Full Radio Licence,2024-08-10,1990-04-19
G0NGV,Allocated,Amateur Full Radio Licence,2024-08-30,2009-03-05
G0NGW,Allocated,Amateur Full Radio Licence,2024-08-10,1990-04-19
G0NGX,Allocated,Amateur Full Radio Licence,2024-02-27,1990-04-19
G0NGY,Reserved,,,
G0NGZ,Reserved,,,
G0NHA,Reserved,,,
G0NHB,Allocated,Amateur Full Radio Licence,2024-08-10,1990-04-19
G0NHC,Reserved,,,
G0NHD,Allocated,Amateur Full Radio Licence,2024-08-10,1990-04-19
G0NHE,Allocated,Amateur Full Radio Licence,2024-08-11,1990-04-19
G0NHF,Allocated,Amateur Full Radio Licence,2024-06-11,1990-04-19
G0NHG,Allocated,Amateur Full Radio Licence,2024-08-11,1990-04-19
